k,silhouette,davies_bouldin,inertia
3,0.22472797662501945,1.620949613082619,69955.37342107232
4,0.2285284006288371,1.603960374684217,63640.92247513864
5,0.23264029794162217,1.4629405414552974,59234.244529337884
6,0.15010002228121322,1.634941288062582,55749.14962638756
7,0.1718649565752031,1.5591213788614187,52413.42703738567
