debut_era,n,n_inducted,rate,ci_low,ci_high,err_low,err_high
19th century,282,42,0.14893617021276595,0.11211172629710484,0.19519693696254667,0.036824443915661115,0.04626076674978072
Dead-ball,389,48,0.12339331619537275,0.09434493261582583,0.15980737711919202,0.02904838357954692,0.03641406092381927
Expansion,549,32,0.058287795992714025,0.041587391220407235,0.08112696312629894,0.01670040477230679,0.022839167133584914
Free-agency,718,35,0.04874651810584958,0.03525632045627339,0.0670398065610667,0.013490197649576194,0.01829328845521712
Integration,343,35,0.10204081632653061,0.07428804200126546,0.13860914218886627,0.027752774325265156,0.03656832586233566
Live-ball/pre-integration,654,75,0.11467889908256881,0.09247594970257521,0.1413821705500814,0.022202949379993606,0.026703271467512585
Post-steroid,256,0,0.0,0.0,0.014784391721725852,0.0,0.014784391721725852
Steroid,547,14,0.025594149908592323,0.015305882078106042,0.042499483384487925,0.01028826783048628,0.016905333475895602
