x,y,r,p_value,n
bat_HR,award_mvp_count,0.3858518727568372,2.9975124353112205e-74,2064
bat_max_OPS_plus_proxy,allstar_games,0.07609393995696362,0.0030016027169544844,1519
n_mlb_seasons,bat_H,0.4276460527379236,4.294547378491722e-166,3738
