,cooks_d,hat_diag,student_resid,id,inducted,is_high_cooks,is_high_leverage,is_influential
2909,0.06702397477514963,0.0014037327357643487,-31.642988421122947,Pete Rose,0,1,0,1
377,0.04116433097936901,0.137770165668715,2.3259700095827123,Lou Brock,1,1,1,1
3264,0.033509831124794165,0.15903428661465774,1.929032431876909,Bruce Sutter,1,1,1,1
1011,0.03151673898551753,0.04696881036184573,3.6646209632827844,Rick Ferrell,1,1,1,1
83,0.024689662631099313,0.010402950968300902,7.022926854787344,Richie Ashburn,1,1,0,1
2149,0.023814964492597266,0.06380679513653109,2.708843363277098,Bill Mazeroski,1,1,1,1
783,0.022815941023057684,0.07389656884334894,2.450453410693,Leon Day,1,1,1,1
753,0.02068189495401321,0.06967956207265466,-2.408066001197987,Jake Daubert,0,1,1,1
3719,0.020020927913041702,0.05204750825138617,2.767228763369874,Robin Yount,1,1,1,1
1164,0.01978883344522095,0.23777883840614708,-1.1541802656462974,Steve Garvey,0,1,1,1
1742,0.01954980662511446,0.3316899762494633,0.909502075020329,Jim Kaat,1,1,1,1
2735,0.019479660333104727,0.11553901323137195,-1.7696009826149748,Alex Radcliff,0,1,1,1
1999,0.01853565133429032,0.03560923131729012,3.246824362392931,Ernie Lombardi,1,1,1,1
2356,0.016846741781936778,0.148129203876229,1.4263763441745994,Jack Morris,1,1,1,1
1479,0.016675163247780036,0.18980933454923976,-1.2225863110594102,Keith Hernandez,0,1,1,1
1632,0.016093329770055197,0.03589830337793977,-3.0127081649367193,Shoeless Joe Jackson,0,1,1,1
1813,0.014128318803253315,0.11037643752426668,1.5463928840814607,Chuck Klein,1,1,1,1
3084,0.014051958850383153,0.06168881444674218,2.1185968237835917,Ted Simmons,1,1,1,1
1706,0.013743930773193741,0.08480713065509271,-1.7648396644295086,Tommy John,0,1,1,1
3209,0.013493201923014111,0.07072658684628433,-1.929512351669305,Vern Stephens,0,1,1,1
3496,0.013214937356116431,0.051113706013721116,-2.2697634755012523,Bucky Walters,0,1,1,1
1522,0.013016840296283185,0.06899052911228133,1.92063459507343,Gil Hodges,1,1,1,1
1616,0.012755349519497871,0.051135687866860804,2.229440233190636,Monte Irvin,1,1,1,1
3500,0.012695528046922042,0.03590421557368106,2.6756074869330893,Lloyd Waner,1,1,1,1
336,0.012662294839509966,0.12438497140079945,-1.368165095082048,Ken Boyer,0,1,1,1
