pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CU,2015-04-05,78.9,-0.7,6.29,"Rosenthal, Trevor",592609,572096,,ball,,,,,12,,R,R,R,CHC,STL,B,,,0,0,2015,1.05,0.06,0.9559583312082944,4.628475451313351,,,,1,9,Bot,,,,,,150405_222045,1.3383856037367612,-115.77055584646727,4.308613218110377,8.86,21.061,-32.419,3.5,1.57,,,,77.9,2244,5.3,413661,425877,571431,543939,572761,425509,445055,488721,518792,54.5,,,,,,,,74,1,Curveball,0,3,0,3,3,0,0,3,Standard,Standard,,0.003,0.038,,,,-0.038,,-3,-3,0.018,0.018,25,26,25,27,1,3,,,6,5,3.64,-1.05,-1.05,,,,,,
FF,2015-04-05,98.4,-1.0,6.14,"Rosenthal, Trevor",458085,572096,strikeout,called_strike,,,,,7,Chris Coghlan called out on strikes.,R,L,R,CHC,STL,S,2,,2,2,2015,-0.43,1.42,-0.6702397152887897,1.81115919439398,,,,0,9,Bot,,,,,,150405_222017,2.066273265012033,-144.0503514192173,-9.055766952653212,-6.29,36.296,-10.912,3.27,1.47,,,,97.5,2368,6.0,413661,425877,571431,543939,572761,425509,445055,488721,518792,54.5,,0.0,0.0,1,0,0,,73,5,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Strategic,,-0.021,-0.224,,,,0.224,,-3,-3,0.039,0.039,25,30,25,30,1,3,,,6,3,0.99,0.43,-0.43,,,,,,
CH,2015-04-05,87.2,-0.86,6.12,"Rosenthal, Trevor",458085,572096,,ball,,,,,8,,R,L,R,CHC,STL,B,,,1,2,2015,-1.34,0.95,-0.1348655038280484,1.4454188287560106,,,,0,9,Bot,,,,,,150405_222001,4.961770440645218,-127.58114801568452,-6.196660861934682,-15.136,25.543,-20.887,3.27,1.47,,,,86.7,1683,5.9,413661,425877,571431,543939,572761,425509,445055,488721,518792,54.5,,,,,,,,73,4,Changeup,0,3,0,3,3,0,0,3,Standard,Strategic,,0.004,0.04,,,,-0.04,,-3,-3,0.035,0.035,25,30,25,30,1,3,,,6,3,2.09,1.34,-1.34,,,,,,
CH,2015-04-05,86.2,-0.8,6.17,"Rosenthal, Trevor",458085,572096,,called_strike,,,,,11,,R,L,R,CHC,STL,S,,,1,1,2015,-1.46,0.89,-0.1768371275093685,3.3879717744830504,,,,0,9,Bot,,,,,,150405_221940,4.956105129582203,-126.409281308771,-1.3296578573666038,-16.122,26.817,-22.677,3.15,1.55,,,,85.6,1453,5.8,413661,425877,571431,543939,572761,425509,445055,488721,518792,54.5,,,,,,,,73,3,Changeup,0,3,0,3,3,0,0,3,Standard,Strategic,,-0.007,-0.056,,,,0.056,,-3,-3,0.042,0.042,25,30,25,30,1,3,,,6,3,2.23,1.46,-1.46,,,,,,
FF,2015-04-05,96.9,-0.94,6.2,"Rosenthal, Trevor",458085,572096,,ball,,,,,14,,R,L,R,CHC,STL,B,,,0,1,2015,-0.24,1.54,1.734814860805,2.1651303544247207,,,,0,9,Bot,,,,,,150405_221924,7.793680825542749,-141.68363349378075,-8.23748797782132,-4.977,33.988,-10.241,3.27,1.47,,,,96.7,2363,6.3,413661,425877,571431,543939,572761,425509,445055,488721,518792,54.5,,,,,,,,73,2,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Strategic,,0.003,0.025,,,,-0.025,,-3,-3,0.039,0.039,25,30,25,30,1,3,,,6,3,0.94,0.24,-0.24,,,,,,
FF,2015-04-05,95.6,-0.98,6.15,"Rosenthal, Trevor",458085,572096,,called_strike,,,,,7,,R,L,R,CHC,STL,S,,,0,0,2015,-0.72,1.22,-0.7342827971114894,1.7463673006056193,,,,0,9,Bot,,,,,,150405_221900,2.5525441273455964,-139.92910136565587,-8.149615340031906,-9.745,31.79,-14.821,3.27,1.47,,,,94.6,2336,5.7,413661,425877,571431,543939,572761,425509,445055,488721,518792,54.5,,,,,,,,73,1,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Strategic,,-0.004,-0.036,,,,0.036,,-3,-3,0.043,0.043,25,30,25,30,1,3,,,6,3,1.32,0.72,-0.72,,,,,,
FF,2015-04-05,94.7,-2.13,5.85,"Rondón, Héctor",425509,444468,field_out,hit_into_play,,,,,2,Jhonny Peralta flies out to center fielder Dexter Fowler.,R,R,R,CHC,STL,X,8,fly_ball,0,1,2015,-0.44,1.61,-0.1610371884318722,3.1729979923806706,488721,,,2,9,Top,113.45,98.18,,,,150405_221616,6.2855831302191385,-138.72175086842006,-4.406993243751565,-6.927,33.156,-11.239,3.68,1.73,311,98.6,46,94.7,2088,6.5,413661,471083,519203,570489,592609,516770,458085,451594,624585,54.5,0.02,0.03,0.0,1,0,0,3,72,2,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,,0.007,-0.273,,,0.056,0.273,98.6,-3,3,0.036,0.964,27,33,27,33,1,4,,,3,3,0.99,0.44,0.44,,,,,,
FF,2015-04-05,93.7,-2.21,5.79,"Rondón, Héctor",425509,444468,,swinging_strike,,,,,2,,R,R,R,CHC,STL,S,,,0,0,2015,-0.6,1.55,-0.2155434363059372,3.586060861312604,,,488721,2,9,Top,,,,,,150405_221538,6.7029706120534245,-137.3032288185533,-2.8605947637876783,-8.874,32.376,-12.656,3.68,1.73,,,,93.5,2085,6.3,413661,471083,519203,570489,592609,516770,458085,451594,624585,54.5,,,,,,,,72,1,4-Seam Fastball,0,3,3,0,3,0,3,0,Strategic,Standard,,-0.003,-0.042,,,,0.042,,-3,3,0.039,0.961,27,33,27,33,1,4,,,3,3,1.1,0.6,0.6,,,,,,
SL,2015-04-05,84.8,-2.24,5.75,"Rondón, Héctor",407812,444468,walk,ball,,,,,14,Matt Holliday walks.,R,R,R,CHC,STL,B,,,3,2,2015,0.71,-0.1,1.207462700548085,0.8075144609362832,,,,2,9,Top,,,,,,150405_221456,6.398056764805601,-124.24568020257284,-3.7241582095135257,5.636,27.189,-32.391,3.67,1.82,,,,84.0,2430,5.9,413661,471083,519203,570489,592609,516770,458085,451594,624585,54.5,,0.686843,0.7,1,0,0,,71,7,Slider,0,3,3,0,3,0,3,0,Standard,Standard,,-0.002,0.269,,,,-0.269,,-3,3,0.041,0.959,27,35,27,35,1,4,,,3,3,3.35,-0.71,-0.71,,,,,,
SL,2015-04-05,85.8,-2.13,5.73,"Rondón, Héctor",407812,444468,,ball,,,,,14,,R,R,R,CHC,STL,B,,,2,2,2015,0.66,0.25,2.456009741358293,0.0332365898542081,,,,2,9,Top,,,,,,150405_221432,9.2826550484844,-125.34539830404624,-6.544262807277533,4.671,26.953,-28.211,3.67,1.82,,,,84.7,2444,5.8,413661,471083,519203,570489,592609,516770,458085,451594,624585,54.5,,,,,,,,71,6,Slider,0,3,3,0,3,0,3,0,Standard,Standard,,0.0,0.098,,,,-0.098,,-3,3,0.041,0.959,27,35,27,35,1,4,,,3,3,2.93,-0.66,-0.66,,,,,,
